morphind	root_morphind	root_pos_morphind	affix_morphind	affix_morphind_wclass	pref_morphind	suff_morphind	verb_tagged	n	ok	remark	kbbi_form_pos	gloss	semantics
ber+arak<n>+an_VSA	arak	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE	in group	v		random event
ber+gelimang<a>+an_VSA	gelimang	a	ber-_an	ber-_a_an	ber-	an	TRUE	3	TRUE		NA		random event
ber+gemeletuk<v>+an_VSA	gemeletuk	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		NA		random event
ber+genggam<v>+an_VSA	genggam	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		NA		reciprocal
ber+gerombol<n>+an_VSA	gerombol	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE	in group	NA		random event
ber+keluyur<pre-cat>+an_VSA	keluyur	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		random event
ber+landas<n>+an_VSA	landas	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	FALSE	"based on ""landasan""?"	v		use
ber+lanjut<v>+an_VSA	lanjut	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		reciprocal
ber+lekat<a>+an_VSA	lekat	a	ber-_an	ber-_a_an	ber-	an	TRUE	3	TRUE		v		reciprocal-(spatial-)relationship
ber+limpah<v>+an_VSA	limpah	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		random event
ber+lintas<n>+an_VSA	lintas	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE		NA		random event
ber+mi<n>+an_VSA	mi	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	FALSE	typo			
ber+paut<v>+an_VSA	paut	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		reciprocal-(spatial-)relationship
ber+renang<v>+an_VSA	renang	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE		v		random event
ber+samping<n>+an_VSA	samping	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE		v		reciprocal-(spatial-)relationship
ber+sasar<v>+an_VSA	sasar	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	TRUE	have	v		random event
ber+saut<n>+an_VSA	saut	n	ber-_an	ber-_n_an	ber-	an	TRUE	3	TRUE		v		reciprocal
ber+tantang<v>+an_VSA	tantang	v	ber-_an	ber-_v_an	ber-	an	TRUE	3	FALSE	"typo for ""bertentangan"""			
ber+terus<a>+an_VSA	terus	a	ber-_an	ber-_a_an	ber-	an	TRUE	3	TRUE		v		random event
ber+angkut<v>+an_VSA	angkut	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	FALSE	"typo for ""bersangkutan"""			
ber+bantal<n>+an_VSA	bantal	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	FALSE	"based on ""bantalan""?"			wear
ber+bentrok<v>+an_VSA	bentrok	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		v		reciprocal
ber+debar<n>+an_VSA	debar	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+diam<a>+an_VSA	diam	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	TRUE		NA		reciprocal-personal-relationship
ber+fikir<v>+an_VSA	fikir	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	FALSE	"based on ""fikiran""?"			
ber+g<f>+an_VSA	g	f	ber-_an	ber-_f_an	ber-	an	TRUE	2	FALSE	typo			
ber+gaduh<a>+an_VSA	gaduh	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+gantung<v>+an_VSA	gantung	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE	plurality of the subject	v		random event
ber+gelar<v>+an_VSA	gelar	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+geliat<v>+an_VSA	geliat	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+jajar<n>+an_VSA	jajar	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		NA		reciprocal-(spatial-)relationship
ber+juntai<a>+an_VSA	juntai	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		a		random event
ber+kuat<a>+an_VSA	kuat	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	FALSE	context shows its use in the sense of 'to have'			have
ber+laku<n>+an_VSA	laku	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	FALSE	context shows its two uses are irrelevant			
ber+lepas<v>+an_VSA	lepas	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+mental<n>+an_VSA	mental	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+pelesir<pre-cat>+an_VSA	pelesir	pre-cat	ber-_an	ber-_pre-cat_an	ber-	an	TRUE	2	FALSE	"based on ""pelesiran""?"			
ber+rubah<n>+an_VSA	rubah	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	FALSE	"typo for ""perubahan"""			
ber+s<f>+an_VSA	s	f	ber-_an	ber-_f_an	ber-	an	TRUE	2	FALSE				
ber+salip<v>+an_VSA	salip	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		reciprocal
ber+sesak<a>+an_VSA	sesak	a	ber-_an	ber-_a_an	ber-	an	TRUE	2	TRUE	"KBBI has ""bersesak-sesak""; desak"	NA		reciprocal
ber+simpang<n>+an_VSA	simpang	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		v		reciprocal-(spatial-)relationship
ber+sisih<v>+an_VSA	sisih	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		reciprocal
ber+tangis<n>+an_VSA	tangis	n	ber-_an	ber-_n_an	ber-	an	TRUE	2	TRUE		v		random event
ber+tempel<v>+an_VSA	tempel	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+tumbuh<v>+an_VSA	tumbuh	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE	plurality of the subject	v		random event
ber+tumpah<v>+an_VSA	tumpah	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		random event
ber+tumpang<v>+an_VSA	tumpang	v	ber-_an	ber-_v_an	ber-	an	TRUE	2	TRUE		NA		reciprocal-(spatial-)relationship
ber+akrab<a>+an_VSA	akrab	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-personal-relationship
ber+ampun<n>+an_VSA	ampun	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		reciprocal
ber+anekaragam<n>+an_VSA	aneka ragam	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+asal<n>+an_VSA	asal	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"typo for ""beralasan"""	NA		
ber+awal<n>+an_VSA	awal	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"based on ""awalan""?"			
ber+bahas<v>+an_VSA	bahas	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""berbahasa"""	NA		
ber+banding<v>+an_VSA	banding	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		reciprocal
ber+bangun<v>+an_VSA	bangun	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""bangunan""?"			
ber+bantah<v>+an_VSA	bantah	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		reciprocal
ber+basah<a>+an_VSA	basah	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+belanja<v>+an_VSA	belanja	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""perbelanjaan"""	NA		
ber+bising<a>+an_VSA	bising	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		
ber+bondong<a>+an_VSA	bondong	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE	in group	NA		random event
ber+cengkram<v>+an_VSA	cengkram	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		
ber+ciprat<v>+an_VSA	ciprat	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+coba<v>+an_VSA	coba	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""percobaan"""	NA		
ber+cumbu<n>+an_VSA	cumbu	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA	kiss	reciprocal
ber+datar<a>+an_VSA	datar	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	FALSE	"based on ""dataran""?"	NA		
ber+degup<n>+an_VSA	degup	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	sound	NA		random event
ber+deret<n>+an_VSA	deret	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	"KBBI has ""berderet-deret"""	NA		reciprocal-(spatial-)relationship
ber+desah<n>+an_VSA	desah	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	sound	NA		random event
ber+desir<n>+an_VSA	desir	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	sound	NA		random event
ber+efbe<n>+an_VSA	efbe	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+gagas<v>+an_VSA	gagas	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""gagasan""?"	NA		
ber+gayut<v>+an_VSA	gayut	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	plurality of the subject	v		
ber+gejolak<n>+an_VSA	gejolak	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		
ber+gelandang<n>+an_VSA	gelandang	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	random action	v		random event
ber+gemeretak<v>+an_VSA	gemeretak	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	sound	NA		random event
ber+gemeretup<v>+an_VSA	gemeretup	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	sound	NA		random event
ber+geriap<a>+an_VSA	geriap	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE	sound	NA		random event
ber+goncang<v>+an_VSA	goncang	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	"KBBI has ""berguncangan"""	v		random event
ber+gulung<v>+an_VSA	gulung	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+gumul<v>+an_VSA	gumul	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		random event
ber+guncang<v>+an_VSA	guncang	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		random event
ber+hadap<v>+an_VSADASHber+tatap<v>+an_VSA	hadap	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		reciprocal-(spatial-)relationship
ber+halau<v>+an_VSA	halau	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""berhaluan"""	NA		
ber+hasil<n>+an_VSA	hasil	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"based on ""berhasil"" and part of ""keberhasilan""."	NA		
ber+henti<v>+an_VSA	henti	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"part of ""pemberhentian"""	NA		
ber+hias<v>+an_VSA	hias	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""hiasan"""	NA		"have ""hiasan"""
ber+hujan<n>+an_VSA	hujan	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		
ber+jalan<n>+an_VSA	jalan	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		
ber+jalin<v>+an_VSA	jalin	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		reciprocal-(spatial-)relationship
ber+jamin<v>+an_VSA	jamin	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""jaminan""?"	NA		
ber+jerit<n>+an_VSA	jerit	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+juta<c>+an_VSA	juta	c	ber-_an	ber-_c_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+kakak<n>+an_VSADASHyang<s>_S--	kakak	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	laughter onomatopea	NA		random event
ber+kalah<a>+an_VSA	kalah	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		
ber+kangen<a>+an_VSA	kangen	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		reciprocal
ber+kawan<n>+an_VSA	kawan	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	in group	v		reciprocal-personal-relationship
ber+keroyok<v>+an_VSA	keroyok	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	in group	NA		random event
ber+kerumun<v>+an_VSA	kerumun	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	in group	NA		random event
ber+kobar<v>+an_VSA	kobar	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+kolong<n>+an_VSA	kolong	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+kucur<v>+an_VSA	kucur	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	"KBBI has ""bercucuran"""	NA		random event
ber+kunjung<v>+an_VSA	kunjung	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		
ber+lebih<a>+an_VSADASHoverwriting<x>_X--	lebih	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		a		
ber+letup<v>+an_VSA	letup	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+libur<v>+an_VSA	libur	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		
ber+main<v>+an_VSA	main	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		
ber+naung<v>+an_VSA	naung	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""naungan"""	NA		
ber+nyanyi<v>+an_VSA	nyanyi	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+panggil<v>+an_VSA	panggil	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""panggilan""?"			have
ber+panjang<a>+an_VSA	panjang	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		
ber+pantul<n>+an_VSA	pantul	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+payung<n>+an_VSA	payung	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		
ber+pental<pre-cat>+an_VSA	pental	pre-cat	ber-_an	ber-_pre-cat_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+perabot<n>+an_VSA	perabot	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		
ber+pijar<n>+an_VSA	pijar	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+pinggir<n>+an_VSA	pinggir	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"based on ""pinggiran"""			
ber+punggung<n>+an_VSA	punggung	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	saling memunggungi	NA		reciprocal-(spatial-)relationship
ber+putar<v>+an_VSA	putar	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+putus<a>+an_VSA	putus	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		adv		random event
ber+ragam<n>+an_VSA	ragam	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+rangkai<v>+an_VSA	rangkai	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-(spatial-)relationship
ber+rebah<v>+an_VSA	rebah	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+rentet<n>+an_VSA	rentet	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	repeated action	v		random event
ber+sa<f>+an_VSA	sa	f	ber-_an	ber-_f_an	ber-	an	TRUE	1	FALSE				
ber+saing<v>+an_VSA	saing	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		v		
ber+salin<v>+an_VSA	salin	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-(spatial-)relationship
ber+sambar<v>+an_VSA	sambar	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	repeated random action	v		random event
ber+sandal<n>+an_VSA	sandal	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+sandar<n>+an_VSA	sandar	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"based on ""sandaran"""	v		
ber+sanding<v>+an_VSA	sanding	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-(spatial-)relationship
ber+sangku<n>+an_VSA	sangku	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		
ber+seling<v>+an_VSA	seling	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-(spatial-)relationship
ber+sembur<v>+an_VSA	sembur	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		v		random event
ber+semi<n>+an_VSA	semi	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+semilir<a>+an_VSA	semilir	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+serabut<n>+an_VSA	serabut	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+sikut<n>+an_VSA	sikut	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		v		reciprocal
ber+simbah<v>+an_VSA	simbah	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+siur<v>+an_VSA	siur	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+surat<n>+an_VSA	surat	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		NA		reciprocal-personal-relationship
ber+susul<v>+an_VSA	susul	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	saling menyusul	v		reciprocal
ber+taha<f>+an_VSA	taha	f	ber-_an	ber-_f_an	ber-	an	TRUE	1	FALSE				
ber+tambal<v>+an_VSA	tambal	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""tambalan"""	v		
ber+tampil<v>+an_VSA	tampil	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"based on ""tampilan"""	NA		
ber+tanggal<v>+an_VSA	tanggal	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+telepon<n>+an_VSA	telepon	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	saling menelpon	NA		random event
ber+tidur<v>+an_VSA	tidur	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE		NA		random event
ber+tingkah<n>+an_VSA	tingkah	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE	"KBBI has ""bertingkah-tingkah""; silih berganti"	NA		reciprocal
ber+tolak<v>+an_VSA	tolak	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	"KBBI has ""bertolak-tolakan; saling menolak"	v		reciprocal
ber+topik<n>+an_VSA	topik	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	FALSE	"based on ""topi"""	NA		
ber+tukar<v>+an_VSA	tukar	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	TRUE	saling bertukar	v		reciprocal
ber+urut<n>+an_VSADASHlangkah<n>_NSD	urut	n	ber-_an	ber-_n_an	ber-	an	TRUE	1	TRUE		v		reciprocal-(spatial-)relationship
ber+wajib<a>+an_VSA	wajib	v	ber-_an	ber-_v_an	ber-	an	TRUE	1	FALSE	"typo for ""berkewajiban""?"			
ber+yakin<a>+an_VSA	yakin	a	ber-_an	ber-_a_an	ber-	an	TRUE	1	FALSE	"typo for ""berkeyakinan""?"			