LEFT	NODE	RIGHT	GENRE	RELEVAN	STEM	AGENT_ENCODED	AGENT_PHRASE_TYPE	AGENT_ANIMACY	AGENT_CATEGORY	INTERCEPTION_BEFORE_AGENT
roaminoto kepada orang tua Raden Ajeng Soeharsikin	diterima	dengan baik, karena kedua orang tua menilai kedud	Biografi	TRUE	terima	FALSE				
tidak banyak berarti ketika SDM penduduknya tidak	dibenahi	dengan baik.	Biografi	TRUE	benah-i	FALSE				
kantor tahu, kalau	diminta	membelikan sesuatu oleh Auwjong, uang kembalianny	Biografi	TRUE	minta	TRUE	oleh_phrase	animate	person	TRUE
Dengan adanya sosok pengusaha seperti Mas Nadjikh	diharapkan	bisa ikut mengentaskan kemiskinan yang diderita p	Biografi	TRUE	harap-kan	FALSE				
, kampanye mahal dengan hasil riset yang cenderung	dimanipulasi	, atau kampanye sehat, hemat, dan bermartabat? Sek	Biografi	TRUE	manipulasi	FALSE				
mereka mengusahakan agar kegiatan-kegiatan mereka	diresapi	semangat Injil, dan hendaknya mereka mengindahkan	Biografi	TRUE	resap-i	FALSE				
arnya menarik setengah juta orang. Selain menuntut	dilarangnya	PKI, mereka mendesak dibersihkannya kabinet, parl	Biografi	FALSE						
Lyduma Intermas yaitu Ir. Nicolaus Simamora, MSA,	didampingi	Chief Engineer Pioneer Hi-Bred International Inc.	Biografi	TRUE	damping-i	TRUE	np	animate	person	FALSE
uga aksi politik di antara penduduk ikut berperan.	Dimulai	dengan aksi Sarekat Islam yang masih terus berlan	Biografi	TRUE	mula-i	FALSE				
keserasian dan dapat memberi kepuasan. Inilah yang	disebut	dasar Kebudayaan.	Biografi	TRUE	sebut	FALSE				
k peristiwa Gerakan 30 September, di Jakarta mulai	diadakan	jam malam, yaitu waktu ditentukan untuk tidak bol	Biografi	TRUE	ada-kan	FALSE				
Mungkin Anda	dilahirkan	sebagai orang miskin. Namun, dengan semangat ting	Biografi	TRUE	lahir-kan	FALSE				
sebuah perusahaan mulai ditawarkan Presiden. Semua	ditolak	halus oleh mereka.	Biografi	TRUE	tolak	TRUE	oleh_phrase	animate	person	TRUE
berpegang teguh pada prinsip-prinsip tersebut Ini	dikatakan	Baswedan secara jujur seolah-olah masa depannya s	Biografi	TRUE	kata-kan	TRUE	np	animate	person	FALSE
n di awal perjalanan. Bahkan, boleh jadi yang akan	dihadapi	adalah hal-hal yang serba-meragukan dan membuat p	Biografi	TRUE	hadap-i	FALSE				
hanya runner up. Selanjutnya, piala tersebut tenis	dipertahankan	China hingga tahun 2008.	Biografi	TRUE	per-tahan-kan	TRUE	np	inanimate	institution/organisation	FALSE
tempat tidur ayah dan ibunya. Pekerjaan ini tidak	diserahkan	kepada pembantu, demikian juga dengan urusan kama	Biografi	TRUE	serah-kan	FALSE				
h. Di dekatku, kulihat si Kuning sedang menatap ke	dinding	. Rupanya di atas dinding ada seekor cecak. Kucing	Biografi	FALSE						
ewakili pengurangan produksi sebanyak 300 ribu ton	dibandingkan	1.200.000 ton untuk pabrik- pabrik yang bekerja d	Biografi	TRUE	banding-kan	FALSE				
topo (disampaikan oleh Kolonel Aloysius Soegianto)	diterimanya	, Moerdani langsung siap meninggalkan Seoul dengan	Biografi	TRUE	terima	TRUE	pron-klitik-nya			
ahun kemudian, atau dua bulan setelah Negara Islam	diproklamasikan	, pada 3 Oktober 1949, maklumat itu direvisi menja	Biografi	TRUE	proklamasi-kan	FALSE				
g erat tidak hanya	dijalin	Agus Supriatna di dalam lingkungan Mabes TNI AU C	Biografi	TRUE	jalin	TRUE	np	animate	person	FALSE
hwa kehidupan adalah bentuk dari surga dan neraka.	Diketahui	bahwa dalam kehidupan ini, ada untung dan rugi, a	Biografi	TRUE	ke-tahu-i	FALSE				
a sendiri yang datang ke rumah mengantar undangan,	didampingi	oleh Ustadz Guru Djam'an, Pimpinan Perguruan Isla	Biografi	TRUE	damping-i	TRUE	oleh_phrase	animate	person	FALSE
reka mendapat sentuhan, sedikit sekalipun. Hal ini	disebabkan	latar belakang mereka yang berasal dari keluarga	Biografi	TRUE	sebab-kan	TRUE	np	inanimate	abstraction	FALSE
ak. Tidak jarang, anak-anak yang bermain ke masjid	dilarang	dan disuruh keluar, karena pengelola masjid menga	Biografi	TRUE	larang	FALSE				
diri. Muhammad Darwis bisa menjelaskan materi yang	dipelajarinya	dengan rinci, sehingga orang yang mendengar penje	Biografi	TRUE	pel-ajar-i	TRUE	pron-klitik-nya			
selaku wakil ketua PPBB menghadiri rapat umum yang	diselenggarakan	pada 27 Agustus 1931 di Gedung Kesenian Batavia d	Biografi	TRUE	selenggara-kan	FALSE				
ionir dalam industri ini yang mulai diproduksi dan	digunakan	pada awal 1960-an.	Biografi	TRUE	guna-kan	FALSE				
ih penting untuk mendapatkan perhatian. Sikap yang	diambil	Jokowi itu merupakan wujud kepeduliannya terhadap	Biografi	TRUE	ambil	TRUE	np	animate	person	FALSE
ecara khusus dan	disiapkan	agar bisa diterima di berbagai universitas dalam	Biografi	TRUE	siap-kan	FALSE				
ering menemani Emma. Sementara itu perusahaan yang	didirikan	Jonner makin berkembang.	Biografi	TRUE	diri-kan	TRUE	np	animate	person	FALSE
t usaha rakyat. Akses pendidikan dan kesejahteraan	ditingkatkan	.	Biografi	TRUE	tingkat-kan	FALSE				
lim yang taat maupun yang kurang taat (yang sering	disebut	abangan). Tidak ada kewajiban untuk mempelajari a	Biografi	TRUE	sebut	FALSE				
h memasuki kantor, Yap menyapa beberapa orang yang	ditemuinya	". """"Hai, apa kabar?"""" ujarnya. Ya, itu saja yang diu"	Biografi	TRUE	temu-i	TRUE	pron-klitik-nya			
ukan Jokowi. Mereka yang paham gerak perubahan itu	dipastikan	akan memperoleh keuntungan berlipat ganda. Sement	Biografi	TRUE	pasti-kan	FALSE				
Semua	dikecap	BamSoet dari pergumulannya sebagai wartawan perle	Biografi	TRUE	kecap	TRUE	np	animate	person	FALSE
dalam waktu relatif cepat, sekitar 1-2 jam. Kadang	dibuatnya	satu, kadang dua buah sekaligus. Itu dilakukannya	Biografi	TRUE	buat	TRUE	pron-klitik-nya			
osial kemasyarakatan yang lain. Aplikasi ini dapat	diunduh	di Play Store. Saat ini. sudah lebih dari 1.000 o	Biografi	TRUE	unduh	FALSE				
an secara perseorangan, kelompok atau fraksi, yang	disampaikan	kepada pimpinan dewan untuk ditindaklanjuti melal	Biografi	TRUE	sampai-kan	FALSE				
urid yang pagi itu masuk sekolah dan melewati tuan	direktur	harus terlebih dahulu mencium tangan Edrus. Ketik	Biografi	FALSE						
ngunjungi para agen di Jawa Tengah. Di sana mereka	dipinjami	sepeda motor oleh teman Ojong. Kurnia mengendarai	Biografi	TRUE	pinjam-i	TRUE	oleh_phrase	inanimate	technology	TRUE
seorang yang	dikenal	baik Presiden Soekarno. Dialah yang mula-mula men	Biografi	TRUE	kenal	TRUE	np	animate	person	TRUE
Kekuasaan harus	dilaksanakan	sebaik-baiknya. Untuk mencapai hal itu, perlu dip	Biografi	TRUE	laksana-kan	FALSE				
okrat (Sociaal Democratische Arbeiders Partij), DD	diberikan	kesempatan untuk memberikan caramah di Paleis voo	Biografi	TRUE	beri-kan	FALSE				
membutuhkan banyak pasokan barang yang belum bisa	diproduksi	sendiri. Terlebih lagi banyak negara Asia Tenggar	Biografi	TRUE	produksi	FALSE				
alah seorang yang berjuang dalam antikekerasan dan	diskriminasi	di Indonesia. Titik awal saya bertemu AB Susanto	Biografi	FALSE						
ihak yang selama ini sering menjadi calo alutsista	dihindari	sehingga pembelian benar-benar berorientasi pada	Biografi	TRUE	hindar-i	FALSE				
dikit saja, aku akan kehilangan satu mataku. Kalau	dipikir-pikir	, aku masih beruntung hanya terluka pangkal	Biografi	TRUE	pikir	FALSE				
kan bahwa apabila aturan umum tentang hal tersebut	diberlakukan	untuk semuanya, pemerintah kemungkinan akan membe	Biografi	TRUE	ber-laku-kan	FALSE				
literatur manajemen, fungsi perencanaan senantiasa	ditempatkan	sebagai fungsi manajemen yang pertama. Hal ini me	Buku_Teks	TRUE	tempat-kan	FALSE				
gaya Flathead namun mereka cukup berbeda sehingga	dibedakan	sebagai kesatuan yang terpisah. Pada komunitas Ba	Buku_Teks	TRUE	beda-kan	FALSE				
straksi oksigen adalah fraksi oksigen kapiler yang	dikonsumsi	oleh jaringan. Normalnya hanya sejumlah 25% dari	Buku_Teks	TRUE	konsumsi	TRUE	oleh_phrase	animate	body	FALSE
akibat. Seseorang mendapat- kan haknya dikarenakan	dipenuhinya	kewajiban yang dimiliki. Misalnya, seorang pekerj	Buku_Teks	TRUE	penuh-i	TRUE	pron-klitik-nya			
gembangkan sistem pemasaran, misalnya yang awalnya	dilakukan	secara konvensional, dikembangkan dengan cara onl	Buku_Teks	TRUE	laku-kan	FALSE				
ukan larutan baku primer, maka larutan KMnO4 harus	distandarisasi	, antara lain dengan arsen (III) oksida (As2O3) da	Buku_Teks	TRUE	standarisasi	FALSE				
h banyak diuraikan. Ada 3 tipe analysis yang telah	digunakan	untuk menjelaskan Hubungan I-S yaitu: korelasi da	Buku_Teks	TRUE	guna-kan	FALSE				
dan preservesi. Meksipun konsep pertumbuhan tidak	ditinggalkan	begitu saja, namun juuga harus diukur secara kual	Buku_Teks	TRUE	tinggal-kan	FALSE				
egara merupakan masalah yang cukup rumit, sehingga	diperlukan	pengelolaan yang baik. Melalui pasar tenaga kerja	Buku_Teks	TRUE	perlu-kan	FALSE				
at ini masih menjadi permasalahan yang belum dapat	diselesaikan	secara tuntas. Berbagai masalah pokok itulah yang	Buku_Teks	TRUE	selesai-kan	FALSE				
2. Kematian orang yang	diwarisi	, walaupun kematian tersebut berdasarkan vonis pen	Buku_Teks	TRUE	waris-i	FALSE				
lkan suatu barang	diperlukan	biaya produksi. Tinggi rendahnya biaya produksi y	Buku_Teks	TRUE	perlu-kan	FALSE				
rtanggung jawabkan di hadapanNya. Tugas hidup yang	dipikul	manusia di muka bumi adalah tugas kekhalifaan, ya	Buku_Teks	TRUE	pikul	TRUE	np	animate	person	FALSE
angkah ini merupakan kelanjutan manajemen terhadap	diagnosis	atau masalah yang telah diidentifikasi atau diant	Buku_Teks	FALSE						
4)	Disiplin	~	Buku_Teks	FALSE						
1. Jelaskan yang	dimaksud	dengan plot dalam naskah lakon!	Buku_Teks	TRUE	maksud	FALSE				
at pemerintah yang bersangkutan. Akan tetapi, yang	disebut	top administrator adalah presiden, menteri, sekre	Buku_Teks	TRUE	sebut	FALSE				
up besar dan hanya bisa transfer ke rekening pajak-	disukai	. Selanjutnya makalah oleh James Poterba, Venti, d	Buku_Teks	TRUE	suka-i	FALSE				
b. Tangga nada	diatonis	minor	Buku_Teks	FALSE						
ng dipimpin oleh Mengki. Kertanegara marah, Mengki	disakiti	dan disuruh kembali ke Cina. Hal inilah yang memb	Buku_Teks	TRUE	sakit-i	FALSE				
Dan	dirikanlah	shalat, tunaikanlah zakat dan ruku'lah beserta or	Buku_Teks	FALSE						
Dapat	disimpulkan	juga, ketika individu menyatakan bahwa hidupnya i	Buku_Teks	TRUE	simpul-kan	FALSE				
t karakteristik musik tertentu dan juga makna yang	diberikan	masyarakat kepada karakteristik musik tersebut. J	Buku_Teks	TRUE	beri-kan	TRUE	np	animate	person	FALSE
dan Uranus tidak	disebutkan	dalam pandangan aliran Surya Sidhanta. Aliran ini	Buku_Teks	TRUE	sebut-kan	FALSE				
sa diperintahkan untuk melaksanakan tauhid seperti	disebutkan	dalam Surat Thaha : 13-14 sebagai berikut :	Buku_Teks	TRUE	sebut-kan	FALSE				
embantu Raja Palembang dalam melawan VOC, langsung	diserang	oleh tentara VOC di tengah perjalanan.	Buku_Teks	TRUE	serang	TRUE	oleh_phrase	animate	person	FALSE
hanley TP. Acute lung injury and acute respiratory	distress	syndrome. Dalam: Wheeler DS, Wong HR, Shanley TP,	Buku_Teks	FALSE						
anjutnya. Tingkah laku musik orang tersebut sangat	dipengaruhi	oleh masyarakat melalui rangsangan dan batasan, y	Buku_Teks	TRUE	pengaruh-i	TRUE	oleh_phrase	animate	person	FALSE
enyebabkan asas hukum tersebut dilanggar maka akan	dituntut	, dipidana dan/atau dikenakan sanksi administratif	Buku_Teks	TRUE	tuntut	FALSE				
dari internet,	diskusikan	di kelompokmu dan presentasikan hasil diskusi kal	Buku_Teks	FALSE						
ta hukumnya, sehingga pada tanggal 18 Agustus 1945	ditetapkanlah	Undang-Undang Dasar yang supel dan elastik dengan	Buku_Teks	TRUE	tetap-kan	FALSE				
n antara kerohanian & kebendaan. Keseimbangan yang	dimaksud	adalah kesimbangan dalam berbagai aspek baik jasm	Buku_Teks	TRUE	maksud	FALSE				
terpenting terletak di lembah Sungai Mekong. Laos	diselimuti	hutan lebat. Laos juga memiliki dataran tinggi da	Buku_Teks	TRUE	selimut-i	TRUE	np	animate	plantation	FALSE
stem pendidikan nasional. Pendidikan nasional yang	ditawarkan	adalah pendidikan bercirikan kebudayaan asli Indo	Buku_Teks	TRUE	tawar-kan	FALSE				
r pada penyakit yang sama pada inang berbeda lebih	disebabkan	oleh faktor tanaman inangnya.	Buku_Teks	TRUE	sebab-kan	TRUE	oleh_phrase	inanimate	abstraction	FALSE
a menjadi lebih besar. Perkembangan hewan tersebut	disebut	dengan perkembangan langsung. Perhatikan Gambar 2	Buku_Teks	TRUE	sebut	FALSE				
perti	dipagut	aliran listrik. Tetapi ketika menoleh, itu bukan	Buku_Teks	TRUE	pagut	TRUE	np	inanimate	technology	FALSE
da	diharapkan	untuk mendiskusikan dengan teman sekelompok kemud	Buku_Teks	TRUE	harap-kan	FALSE				
n tersebut berlaku untuk semua tanpa ada perlakuan	diskriminatif	bagi siapapun. Oleh karena itulah, Pancasila memb	Buku_Teks	FALSE						
a-negara lain yang umat Islamnya minoritas, mereka	ditekan	, ditindas oleh penguasa. Sebagai contoh, penghanc	Buku_Teks	TRUE	tekan	TRUE	oleh_phrase	animate	person	FALSE
ndah, bihun jagung baik dikonsumsi untuk penderita	diabetes	. Serat yang dimiliki juga dapat melancarkan pence	Buku_Teks	FALSE						
pembelajaran berupa kertas (lembar kegiatan) juga	digunakan	untuk mengidentifikasi kegiatan mahasiswa.	Buku_Teks	TRUE	guna-kan	FALSE				
Pelangi hanya dapat	dilihat	saat hujan bersamaan dengan matahari bersinar, ta	Buku_Teks	TRUE	lihat	FALSE				
Thibaut dan Kelley (1959) dan Homans (1950, 1961 )	digabung	ke dalam teorl penetrasi sosial dalam lima propos	Buku_Teks	TRUE	gabung	FALSE				
tebal sepanjang hal itu menunjukkan poin-poin yang	dimaksud	.	Buku_Teks	TRUE	maksud	FALSE				
nomian. Ekonomi makro tidak membahas kegiatan yang	dilakukan	oleh seorang produsen, seorang konsumen, atau seo	Buku_Teks	TRUE	laku-kan	TRUE	oleh_phrase	animate	person	FALSE
, karena harus dibuat sekat- sekat antar kandang .	Disamping	itu juga lebih tinggi dalam hal biaya kebersihan	Buku_Teks	FALSE						
tidak menyala. Untuk tahap penambahan selanjutnya	dilakukan	apabila bahan yang sedang dibakar menyala dan tid	Buku_Teks	TRUE	laku-kan	FALSE				
i parameter terkait kualitas dan outcome pelayanan	digunakan	sebagai tolak ukur penilaian. Oleh sebab itu para	Buku_Teks	TRUE	guna-kan	FALSE				
asio 3: 1 ini dari progeni bulat dan berkerut yang	diamati	Mendel dalam F2 dapat diperoleh hanya jika dua al	Buku_Teks	TRUE	amat-i	TRUE	np	animate	person	FALSE
iyah histeris meneriakkan jika Sangkan hidup lagi,	diikuti	orang-orang mengaji yang memperhatikan Sangkan me	Cerpen	TRUE	ikut-i	TRUE	np	animate	person	FALSE
ga sewaktu Liztya membezuk di penjara, Fadal telah	dinyatakan	gila oleh sipir. Mendengar pernyataan sipir itu,	Cerpen	TRUE	nyata-kan	TRUE	oleh_phrase	animate	person	TRUE
mi. Terutama bagi keluarganya. Saya khawatir istri	dituduh	hamil duluan sehingga memutuskan untuk segera men	Cerpen	TRUE	tuduh	FALSE				
g	dialami	oleh warga kami adalah ketika mengurus orang mati	Cerpen	TRUE	alam-i	TRUE	oleh_phrase	animate	person	FALSE
. Satu per satu dari mereka mencium tangannya yang	dibalas	dengan pelukan hangat. Mereka bersama-sama menuju	Cerpen	TRUE	balas	FALSE				
pa perlu diberi aba-aba secara resmi. Teratak yang	dibangun	darurat itu cukup kokoh, beratapkan daun sagu, da	Cerpen	TRUE	bangun	FALSE				
Banyak jantung	dikoyak	dan berdarah. Bibirnya semakin runcing dan merah.	Cerpen	TRUE	koyak	FALSE				
penerbangan 368 dinyatakan take off. Ia menyiapkan	dirinya	untuk pulang. Langkah-langkahnya terasa berat. Se	Cerpen	FALSE						
encuci dan mandi. Otomatis, tak ada lagi yang bisa	dialirkan	ke dalam selokan. Kalaupun ada sedikit air yang m	Cerpen	TRUE	alir-kan	FALSE				
juga adalah sebuah bau. Kau mirip bau rumput yang	dipotong	itu. Bau yang membuatku mendadak sedih. Tidak. Ba	Cerpen	TRUE	potong	FALSE				
sedang tertidur pulas dengan kedua telapak tangan	diletakkan	tepat di tengah. Helene melongok. Meski sudah ban	Cerpen	TRUE	letak-kan	FALSE				
ngatakan apa adanya pada orang rumah. Apa pun yang	dialaminya	, dia harus menyampaikannya pada anak-anaknya, aga	Cerpen	TRUE	alam-i	TRUE	pron-klitik-nya			
aat aku lahir di sebuah rumah sakit, sebuah gelang	dilingkarkan	di pergelangan mungilku, sebagai tanda aku adalah	Cerpen	TRUE	lingkar-kan	FALSE				
dipilin. Dugaanku tepat. Lambat laun rambut gimbal	Dihyang	sempurna dan memanjang hingga sebahu. Tiap kali d	Cerpen	FALSE						
mbunyikan di loteng bersama berkardus-kardus buku,	dibiarkan	perlahan merapuh, dan akhirnya ludes bersama begi	Cerpen	TRUE	biar-kan	FALSE				
penyangga itu dengan sembarangan, di dekat tangga.	Dinding	rahimmu robek, dan disarankan agar histerektomi d	Cerpen	FALSE						
transaksi yang terjadi. Sebuah topik pasti selalu	dipilih	untuk diperbincangkan.	Cerpen	TRUE	pilih	FALSE				
at terdakwa yang diadilinya gentar walaupun mereka	didampingi	penasihat hukum yang punya nama besar yang selalu	Cerpen	TRUE	damping-i	TRUE	np	animate	person	FALSE
sebuah isyarat ia meminta kami mengikuti apa yang	diucapkannya	. Selesai berdoa dan meniup air putih, Kiai Zainur	Cerpen	TRUE	ucap-kan	TRUE	pron-klitik-nya			
. Dan oleh Tuhan, doanya yang tulus dan serius itu	dikabulkan	, yaitu tidur jam sembilan malam.	Cerpen	TRUE	kabul-kan	FALSE				
menarikan ini bukan karena besaran kemenangan yang	ditawarkan	aplikasi ini, tetapi karena pengaturan program da	Cerpen	TRUE	tawar-kan	TRUE	np	inanimate	technology	FALSE
maka persoalan cinta bukanlah persoalan yang perlu	dikhawatirkan	. Ia juga punya kenangan buruk saat kanak-kanak, k	Cerpen	TRUE	khawatir-kan	FALSE				
Lenin hingga ia memutuskan menulis cerita tentang	dirinya	sendiri.	Cerpen	FALSE						
a. Kalimun pun roboh. Sementara pemuda yang tengah	dirasuki	iblis jahanam itu terus membabi buta menghajar Ka	Cerpen	TRUE	rasuk-i	TRUE	np	inanimate	abstraction	FALSE
ngan. Namun, ia menolak halus tawaran, karena saya	dianggap	membawa berkah dan keberuntungan.	Cerpen	TRUE	anggap	FALSE				
kapan Abu Jenar akan membakar kampung yang sangat	diberkahi	oleh Allah ini.	Cerpen	TRUE	berkah-i	TRUE	oleh_phrase	inanimate	abstraction	FALSE
satunya umat pilihan Tuhan, satu-satunya umat yang	diselamatkan	di antara umat-umat lain yang dijungkalkan Iblis	Cerpen	TRUE	selamat-kan	FALSE				
ya karena itu keinginan Janaka. Katanya itu harus	dilakukan	, agar aku bisa bahagia, setelah menulis surat bua	Cerpen	TRUE	laku-kan	FALSE				
asumber dan menghilang dalam setiap kata-kata yang	dihimpunnya	. Luisa bosan dengan kehidupan yang sama sekali ti	Cerpen	TRUE	himpun	TRUE	pron-klitik-nya			
i dulu, Bray adalah pelayan paling setia dan patut	diandalkan	.	Cerpen	TRUE	andal-kan	FALSE				
ntarpohon kelapa ialah batang-batang singkong yang	ditanam	merapat membentuk pagar hidup dengan daun-daun mu	Cerpen	TRUE	tanam	FALSE				
tau mati tiba-tiba. Dan ternyata semua solusi yang	diberikan	kepala desa membawa hasil. Ternak mereka semakin	Cerpen	TRUE	beri-kan	TRUE	np	animate	person	FALSE
enuju padang kabut itu adalah jembatan tarian. Ya,	disebut	jembatan tarian karena ketika meniti untuk menyeb	Cerpen	TRUE	sebut	FALSE				
h menunggunya. Di ruangan itu bajunya dilucuti dan	diganti	dengan sehelai kain putih tipis. Rambutnya juga d	Cerpen	TRUE	ganti	FALSE				
tahu, burung-burung itu termasuk satwa langka yang	dilindungi	. Suatu kali Margono tak bisa menahan keinginan un	Cerpen	TRUE	lindung-i	FALSE				
bal, membuat tubuhnya sukar tertolak ke atas lagi.	Dirasakannya	rontaan Asrul dalam gendongan saat air sungai yan	Cerpen	TRUE	rasa-kan	TRUE	pron-klitik-nya			
ut melintasi celah di antara pepohonan dan, dengan	diiringi	suara ban berdecit, bergegas mundur kembali ke ja	Cerpen	TRUE	iring-i	TRUE	np	inanimate	sound	FALSE
k	dimasak	di panci. Tak mau susah ia memasukan bumbu ala ka	Cerpen	TRUE	masak	FALSE				
an mengarahkan pijatan ke bagian tubuh yang paling	disukai	Mario.	Cerpen	TRUE	suka-i	TRUE	np	animate	person	FALSE
a tak mampu berbuat apa-apa. Mereka terlampau syok	dihadapkan	dengan kejadian aneh yang datang nyaris bersamaan	Cerpen	TRUE	hadap-kan	FALSE				
Di pintu itu,	disaksikan	hujan, ia pernah menangis, setelah benar-benar se	Cerpen	TRUE	saksi-kan	TRUE	np	inanimate	weather	FALSE
agai penguasa hukum alam: sebuah bibit tumor ganas	disisipkan	ke dalam otak Abdul Jebul, dan tamatlah riwayat A	Cerpen	TRUE	sisip-kan	FALSE				
berangkat ke dermaga, si anjing melihat majikannya	dimarahi	sang ayah di ruang tamu.	Cerpen	TRUE	marah-i	TRUE	np	animate	person	FALSE
enyataan. Segala kekacauan dan keributan itu telah	dimulai	"sejak awal abad ke-20; ketika salah satu malaikat"	Cerpen	TRUE	mula-i	FALSE				
ia membawa tunasnya dari hutan. Mawar dan Matahari	didapatnya	dari rumah tetangga berbeda tapi sama-sama melara	Cerpen	TRUE	dapat	TRUE	pron-klitik-nya			
